ts,A,CTX,x,US,S"1,S"2,H1,H2,M"1,M"2,D,R*,CR
214,1.0,0.4,1.0,0.0,0.367,0.334,0.006,0.008,0.006,0.006,0.006,0.006,0.0,
215,1.0,0.4,1.0,0.0,0.357,0.355,0.012,0.014,0.014,0.012,0.008,0.008,0.0,
216,1.0,0.4,1.0,0.0,0.356,0.356,0.012,0.014,0.012,0.012,0.007,0.007,0.0,
217,1.0,0.4,1.0,1.0,0.327,0.328,0.011,0.012,0.011,0.011,1.0,1.0,0.0,
218,1.0,0.4,1.0,0.0,0.41,0.472,0.016,0.014,0.011,0.015,0.007,0.007,0.0,
219,1.0,0.4,1.0,0.0,0.371,0.433,0.013,0.014,0.016,0.014,0.007,0.007,0.0,
220,1.0,0.4,1.0,0.0,0.437,0.39,0.017,0.014,0.014,0.014,0.009,0.007,0.0,
221,0.0,0.4,0.0,0.0,0.013,0.051,0.006,0.007,0.008,0.007,0.007,0.007,0.0,
222,0.0,0.4,0.0,0.0,0.013,0.017,0.006,0.007,0.006,0.006,0.008,0.006,0.0,
223,0.0,0.4,0.0,1.0,0.013,0.017,0.008,0.006,0.006,0.008,1.0,1.0,0.0,
224,0.0,0.4,0.0,1.0,0.014,0.014,0.006,0.006,0.006,0.006,1.0,1.0,0.0,
225,1.0,0.4,1.0,1.0,0.417,0.368,0.006,0.008,0.006,0.006,1.0,1.0,0.0,
226,1.0,0.4,1.0,0.0,0.401,0.331,0.014,0.015,0.013,0.014,0.007,0.007,0.0,
227,1.0,0.4,1.0,0.0,0.363,0.304,0.013,0.011,0.016,0.011,0.007,0.007,0.0,
228,1.0,0.4,1.0,0.0,0.277,0.361,0.012,0.011,0.01,0.012,0.007,0.007,0.0,
229,1.0,0.4,1.0,0.0,0.329,0.331,0.012,0.012,0.011,0.014,0.007,0.008,0.0,
230,1.0,0.4,1.0,1.0,0.304,0.254,0.011,0.012,0.011,0.011,1.0,1.0,0.0,
231,1.0,0.4,1.0,0.0,0.44,0.414,0.015,0.012,0.011,0.01,0.007,0.007,0.0,
