ts,A,CTX,x,US,S"1,S"2,H1,H2,M"1,M"2,D,R*,CR
141,0.0,0.4,0.0,0.0,0.009,0.009,0.007,0.006,0.007,0.006,0.006,0.006,0.0,
142,0.0,0.4,0.0,0.0,0.011,0.009,0.006,0.007,0.006,0.006,0.006,0.008,0.0,
143,1.0,0.4,1.0,0.0,0.034,0.029,0.006,0.006,0.006,0.006,0.008,0.006,0.0,
144,1.0,0.4,1.0,0.0,0.036,0.029,0.006,0.008,0.006,0.006,0.006,0.006,0.0,
145,1.0,0.4,1.0,0.0,0.029,0.029,0.006,0.006,0.006,0.006,0.006,0.008,0.0,
146,1.0,0.4,1.0,0.0,0.029,0.029,0.006,0.006,0.008,0.006,0.006,0.006,0.0,
147,1.0,0.4,1.0,0.0,0.029,0.029,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
148,1.0,0.4,0.5,1.0,0.035,0.016,0.006,0.008,0.006,0.006,1.0,1.0,0.0,
149,0.0,0.4,0.0,0.0,0.009,0.009,0.008,0.006,0.006,0.006,0.006,0.008,0.0,
150,0.0,0.4,0.0,0.0,0.011,0.009,0.006,0.007,0.006,0.006,0.006,0.008,0.0,
151,0.0,0.4,0.0,0.0,0.009,0.011,0.006,0.007,0.006,0.006,0.008,0.006,0.0,
152,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.007,0.007,0.006,0.006,0.006,0.0,
153,0.0,0.4,0.0,0.0,0.011,0.009,0.006,0.006,0.007,0.006,0.008,0.006,0.0,
154,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.007,0.006,0.006,0.008,0.006,0.0,
155,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.007,0.007,0.006,0.006,0.006,0.0,
156,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.008,0.006,0.0,
157,0.0,0.4,0.0,0.0,0.009,0.011,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
158,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.007,0.008,0.008,0.0,
159,0.0,0.4,0.0,0.0,0.011,0.009,0.006,0.007,0.007,0.006,0.006,0.006,0.0,
160,0.0,0.4,0.0,0.0,0.009,0.011,0.006,0.006,0.006,0.006,0.006,0.008,0.0,
161,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.007,0.006,0.006,0.0,
162,0.0,0.4,0.0,0.0,0.009,0.011,0.007,0.007,0.006,0.006,0.008,0.006,0.0,
163,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.008,0.006,0.0,
164,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.006,0.006,0.0,
165,0.0,0.4,0.0,0.0,0.011,0.009,0.007,0.006,0.006,0.006,0.008,0.008,0.0,
166,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.008,0.006,0.0,
167,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.007,0.006,0.006,0.0,
168,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.008,0.006,0.0,
169,0.0,0.4,0.0,0.0,0.011,0.009,0.007,0.006,0.006,0.006,0.006,0.006,0.0,
170,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.006,0.006,0.006,0.006,0.008,0.0,
171,0.0,0.4,0.0,0.0,0.009,0.009,0.007,0.006,0.006,0.006,0.008,0.006,0.0,
172,0.0,0.4,0.0,0.0,0.009,0.009,0.006,0.007,0.006,0.006,0.008,0.008,0.0,
